config,backend,broker,kind,n,workers,repeat,enqueue_sec,enqueue_rate,drain_sec,throughput,latency_p50_ms,latency_p95_ms,latency_p99_ms,wait_p50_ms,workers_seen
celery-redis,celery,redis,noop,5000,1,1,3.2,1562.5,11.208,446.1,1.75,2.27,2.77,1.75,1
celery-redis,celery,redis,noop,5000,1,2,3.113,1606.2,11.591,431.4,1.73,2.14,2.34,1.73,1
celery-redis,celery,redis,noop,5000,1,3,3.154,1585.2,11.522,434.0,1.69,2.27,2.42,1.69,1
celery-redis,celery,redis,noop,5000,2,1,3.11,1607.7,6.144,813.8,1.83,2.37,2.44,1.83,2
celery-redis,celery,redis,noop,5000,2,2,3.165,1579.9,6.618,755.5,1.84,2.19,2.32,1.84,2
celery-redis,celery,redis,noop,5000,2,3,3.159,1582.8,5.986,835.3,1.8,2.5,2.73,1.8,2
celery-redis,celery,redis,noop,5000,4,1,3.154,1585.4,3.574,1398.8,2.07,2.58,2.77,2.06,4
celery-redis,celery,redis,noop,5000,4,2,3.207,1559.1,3.335,1499.2,2.0,2.31,2.35,2.0,4
celery-redis,celery,redis,noop,5000,4,3,3.165,1579.6,3.34,1497.2,2.28,2.79,2.87,2.28,4
celery-redis,celery,redis,cpu_small,1000,1,1,0.643,1556.2,51.192,19.5,48.57,55.5,122.06,2.29,1
celery-redis,celery,redis,cpu_small,1000,1,2,0.695,1438.7,51.488,19.4,48.18,59.54,98.46,2.28,1
celery-redis,celery,redis,cpu_small,1000,1,3,0.66,1514.7,51.106,19.6,48.54,56.01,126.89,2.27,1
celery-redis,celery,redis,cpu_small,1000,2,1,0.637,1569.1,26.954,37.1,49.58,66.75,67.64,2.6,2
celery-redis,celery,redis,cpu_small,1000,2,2,0.649,1541.4,26.97,37.1,49.31,59.67,69.51,2.53,2
celery-redis,celery,redis,cpu_small,1000,2,3,0.643,1555.1,26.864,37.2,48.42,99.18,100.89,2.45,2
celery-redis,celery,redis,cpu_small,1000,4,1,0.66,1515.1,14.851,67.3,48.21,59.55,64.47,2.35,4
celery-redis,celery,redis,cpu_small,1000,4,2,0.646,1549.1,14.909,67.1,52.32,61.4,64.05,2.57,4
celery-redis,celery,redis,cpu_small,1000,4,3,0.644,1552.4,15.135,66.1,48.46,54.86,96.58,2.48,4
celery-redis,celery,redis,io_sleep,1000,1,1,0.67,1492.7,59.856,16.7,55.01,56.41,56.55,4.78,1
celery-redis,celery,redis,io_sleep,1000,1,2,0.638,1566.5,59.895,16.7,54.85,56.5,57.09,4.64,1
celery-redis,celery,redis,io_sleep,1000,1,3,0.625,1600.5,60.017,16.7,53.01,57.21,57.69,2.87,1
celery-redis,celery,redis,io_sleep,1000,2,1,0.637,1570.9,30.033,33.3,54.87,57.59,57.73,4.71,2
celery-redis,celery,redis,io_sleep,1000,2,2,0.632,1581.7,29.92,33.4,54.43,56.54,56.69,4.61,2
celery-redis,celery,redis,io_sleep,1000,2,3,0.643,1554.7,30.017,33.3,55.39,57.08,57.1,5.14,2
celery-redis,celery,redis,io_sleep,1000,4,1,0.656,1524.7,15.009,66.6,55.3,57.68,58.44,5.15,4
celery-redis,celery,redis,io_sleep,1000,4,2,0.619,1614.7,14.863,67.3,55.14,57.07,57.14,4.98,4
celery-redis,celery,redis,io_sleep,1000,4,3,0.646,1548.4,14.862,67.3,55.61,57.14,57.31,5.35,4
celery-rabbitmq,celery,rabbitmq,noop,5000,1,1,2.239,2232.8,8.839,565.7,2.65,3.71,4.33,2.65,1
celery-rabbitmq,celery,rabbitmq,noop,5000,1,2,2.101,2379.6,8.93,559.9,1.41,1.87,3.23,1.41,1
celery-rabbitmq,celery,rabbitmq,noop,5000,1,3,2.17,2304.0,9.051,552.4,1.42,2.34,3.28,1.42,1
celery-rabbitmq,celery,rabbitmq,noop,5000,2,1,2.131,2346.2,4.825,1036.2,1.65,2.15,2.32,1.64,2
celery-rabbitmq,celery,rabbitmq,noop,5000,2,2,2.285,2188.4,4.612,1084.2,1.79,2.31,2.46,1.79,2
celery-rabbitmq,celery,rabbitmq,noop,5000,2,3,2.143,2333.2,4.688,1066.7,2.21,2.67,2.67,2.21,2
celery-rabbitmq,celery,rabbitmq,noop,5000,4,1,2.097,2384.3,2.846,1756.8,1.92,2.73,3.05,1.92,4
celery-rabbitmq,celery,rabbitmq,noop,5000,4,2,2.141,2335.4,2.896,1726.7,1.79,2.06,2.15,1.79,4
celery-rabbitmq,celery,rabbitmq,noop,5000,4,3,2.172,2302.5,2.866,1744.4,1.92,2.35,2.62,1.91,4
celery-rabbitmq,celery,rabbitmq,cpu_small,1000,1,1,0.44,2274.6,50.911,19.6,48.14,53.78,124.44,2.18,1
celery-rabbitmq,celery,rabbitmq,cpu_small,1000,1,2,0.461,2166.9,50.698,19.7,47.53,54.12,97.15,2.14,1
celery-rabbitmq,celery,rabbitmq,cpu_small,1000,1,3,0.448,2234.4,50.682,19.7,47.52,56.65,99.55,2.13,1
celery-rabbitmq,celery,rabbitmq,cpu_small,1000,2,1,0.449,2227.6,26.804,37.3,48.56,64.63,79.4,2.3,2
celery-rabbitmq,celery,rabbitmq,cpu_small,1000,2,2,0.445,2248.5,26.701,37.5,48.47,51.51,54.47,2.37,2
celery-rabbitmq,celery,rabbitmq,cpu_small,1000,2,3,0.443,2259.0,26.519,37.7,49.04,98.25,133.1,2.4,2
celery-rabbitmq,celery,rabbitmq,cpu_small,1000,4,1,0.445,2249.1,15.055,66.4,48.96,54.76,55.39,2.32,4
celery-rabbitmq,celery,rabbitmq,cpu_small,1000,4,2,0.441,2265.8,14.898,67.1,48.5,51.66,52.44,2.21,4
celery-rabbitmq,celery,rabbitmq,cpu_small,1000,4,3,0.446,2243.8,14.815,67.5,48.66,59.47,102.56,2.19,4
celery-rabbitmq,celery,rabbitmq,io_sleep,1000,1,1,0.441,2269.7,58.932,17.0,52.7,55.78,57.14,2.53,1
