config,backend,broker,kind,n,workers,repeats,enqueue_sec,enqueue_rate,drain_sec,throughput,latency_p50_ms,latency_p95_ms,latency_p99_ms,wait_p50_ms,workers_seen
celery-rabbitmq,celery,rabbitmq,cpu_small,1000,1,3,0.4,2234.4,50.7,19.7,47.5,54.1,99.5,2.1,1.0
celery-rabbitmq,celery,rabbitmq,cpu_small,1000,2,3,0.4,2248.5,26.7,37.5,48.6,64.6,79.4,2.4,2.0
celery-rabbitmq,celery,rabbitmq,cpu_small,1000,4,3,0.4,2249.1,14.9,67.1,48.7,54.8,55.4,2.2,4.0
celery-rabbitmq,celery,rabbitmq,io_sleep,1000,1,3,0.4,2281.3,58.7,17.0,54.3,55.8,56.8,4.1,1.0
celery-rabbitmq,celery,rabbitmq,io_sleep,1000,2,3,0.4,2248.1,29.3,34.2,54.4,56.0,56.2,4.2,2.0
celery-rabbitmq,celery,rabbitmq,io_sleep,1000,4,3,0.4,2245.4,14.6,68.7,54.5,56.7,56.8,4.3,4.0
celery-rabbitmq,celery,rabbitmq,noop,5000,1,3,2.2,2304.0,8.9,559.9,1.4,2.3,3.3,1.4,1.0
celery-rabbitmq,celery,rabbitmq,noop,5000,2,3,2.1,2333.2,4.7,1066.7,1.8,2.3,2.5,1.8,2.0
celery-rabbitmq,celery,rabbitmq,noop,5000,4,3,2.1,2335.4,2.9,1744.4,1.9,2.4,2.6,1.9,4.0
celery-rabbitmq-confirm,celery,rabbitmq-confirm,cpu_small,1000,1,3,4.7,211.2,51.3,19.5,48.9,70.4,102.9,2.2,1.0
celery-rabbitmq-confirm,celery,rabbitmq-confirm,cpu_small,1000,2,3,4.8,208.5,26.9,37.2,49.0,62.8,72.4,2.4,2.0
celery-rabbitmq-confirm,celery,rabbitmq-confirm,cpu_small,1000,4,3,4.8,209.2,14.8,67.6,48.7,52.3,54.8,2.4,4.0
celery-rabbitmq-confirm,celery,rabbitmq-confirm,io_sleep,1000,1,3,4.7,211.8,58.6,17.1,55.0,56.5,56.5,4.7,1.0
celery-rabbitmq-confirm,celery,rabbitmq-confirm,io_sleep,1000,2,3,4.9,203.9,29.3,34.1,54.4,56.1,56.4,4.1,2.0
celery-rabbitmq-confirm,celery,rabbitmq-confirm,io_sleep,1000,4,3,4.9,205.8,14.5,69.1,54.4,56.6,57.3,4.2,4.0
celery-rabbitmq-confirm,celery,rabbitmq-confirm,noop,5000,1,3,23.9,209.4,9.0,554.3,1.6,1.9,2.5,1.6,1.0
celery-rabbitmq-confirm,celery,rabbitmq-confirm,noop,5000,2,3,23.8,209.8,4.8,1049.5,1.8,2.3,2.6,1.8,2.0
celery-rabbitmq-confirm,celery,rabbitmq-confirm,noop,5000,4,3,23.8,210.5,3.0,1648.6,2.1,2.4,2.6,2.1,4.0
celery-redis,celery,redis,cpu_small,1000,1,3,0.7,1514.7,51.2,19.5,48.5,56.0,122.1,2.3,1.0
celery-redis,celery,redis,cpu_small,1000,2,3,0.6,1555.1,27.0,37.1,49.3,66.8,69.5,2.5,2.0
celery-redis,celery,redis,cpu_small,1000,4,3,0.6,1549.1,14.9,67.1,48.5,59.5,64.5,2.5,4.0
celery-redis,celery,redis,io_sleep,1000,1,3,0.6,1566.5,59.9,16.7,54.9,56.5,57.1,4.6,1.0
celery-redis,celery,redis,io_sleep,1000,2,3,0.6,1570.9,30.0,33.3,54.9,57.1,57.1,4.7,2.0
celery-redis,celery,redis,io_sleep,1000,4,3,0.6,1548.4,14.9,67.3,55.3,57.1,57.3,5.2,4.0
celery-redis,celery,redis,noop,5000,1,3,3.2,1585.2,11.5,434.0,1.7,2.3,2.4,1.7,1.0
celery-redis,celery,redis,noop,5000,2,3,3.2,1582.8,6.1,813.8,1.8,2.4,2.4,1.8,2.0
celery-redis,celery,redis,noop,5000,4,3,3.2,1579.6,3.3,1497.2,2.1,2.6,2.8,2.1,4.0
rq-redis,rq,redis,cpu_small,500,1,3,0.2,2321.2,72.4,6.9,141.0,150.8,164.8,73.7,1.0
rq-redis,rq,redis,cpu_small,500,2,3,0.2,2251.0,38.7,12.9,139.8,152.6,161.8,72.1,2.0
rq-redis,rq,redis,cpu_small,500,4,3,0.2,2437.3,21.2,23.5,139.6,153.8,166.9,72.3,4.0
rq-redis,rq,redis,io_sleep,500,1,3,0.2,2468.0,66.9,7.5,126.2,133.8,139.7,76.0,1.0
rq-redis,rq,redis,io_sleep,500,2,3,0.2,2290.2,33.6,14.9,125.6,139.9,145.3,75.4,2.0
rq-redis,rq,redis,io_sleep,500,4,3,0.2,2321.9,17.3,28.9,125.5,133.2,143.3,75.2,4.0
rq-redis,rq,redis,noop,1000,1,3,0.5,2082.9,76.0,13.2,72.3,83.7,88.2,72.3,1.0
rq-redis,rq,redis,noop,1000,2,3,0.4,2365.5,40.5,24.7,72.1,80.2,86.9,72.1,2.0
rq-redis,rq,redis,noop,1000,4,3,0.4,2381.8,22.2,45.1,71.6,79.7,81.0,71.6,4.0
rq-simple-redis,rq,redis-simple,cpu_small,1000,1,3,0.4,2522.9,53.1,18.8,51.4,57.6,94.7,4.6,1.0
rq-simple-redis,rq,redis-simple,cpu_small,1000,2,3,0.4,2413.4,27.8,36.0,51.9,66.6,83.9,4.7,2.0
rq-simple-redis,rq,redis-simple,cpu_small,1000,4,3,0.4,2464.8,15.3,65.2,51.0,63.4,92.5,4.7,4.0
rq-simple-redis,rq,redis-simple,io_sleep,1000,1,3,0.4,2357.5,63.4,15.8,58.7,62.2,62.8,8.5,1.0
rq-simple-redis,rq,redis-simple,io_sleep,1000,2,3,0.4,2530.5,31.6,31.7,57.9,61.3,61.5,7.7,2.0
rq-simple-redis,rq,redis-simple,io_sleep,1000,4,3,0.4,2482.8,15.5,64.5,57.8,61.1,61.9,7.6,4.0
rq-simple-redis,rq,redis-simple,noop,5000,1,3,1.9,2566.9,16.9,295.9,3.3,4.3,4.4,3.3,1.0
rq-simple-redis,rq,redis-simple,noop,5000,2,3,1.9,2607.1,9.1,548.8,3.7,4.1,4.6,3.7,2.0
rq-simple-redis,rq,redis-simple,noop,5000,4,3,2.0,2545.2,5.3,938.6,3.5,4.3,4.4,3.5,4.0
