config,backend,broker,kind,n,workers,repeat,enqueue_sec,enqueue_rate,total_sec,throughput,latency_p50_ms,latency_p95_ms,latency_p99_ms,wait_p50_ms,workers_seen
celery-redis,celery,redis,noop,1000,1,1,0.997,1002.6,3.205,312.0,1134.8,2091.5,2187.2,1134.8,1
celery-redis,celery,redis,noop,1000,1,2,1.011,989.2,3.309,302.2,1148.2,2185.6,2278.2,1148.2,1
celery-redis,celery,redis,noop,1000,1,3,1.197,835.6,3.61,277.0,1413.2,2294.9,2391.9,1413.2,1
celery-redis,celery,redis,noop,1000,2,1,1.11,900.9,1.803,554.7,360.0,670.3,690.0,360.0,2
celery-redis,celery,redis,noop,1000,2,2,1.155,866.1,1.809,552.7,364.4,634.8,652.7,364.4,2
celery-redis,celery,redis,noop,1000,2,3,1.245,802.9,2.035,491.4,432.1,748.1,778.9,432.1,2
celery-redis,celery,redis,noop,1000,4,1,1.529,654.0,1.531,653.1,3.3,4.9,8.8,3.3,4
celery-redis,celery,redis,noop,1000,4,2,1.351,740.2,1.353,739.3,2.8,3.9,4.4,2.8,4
celery-redis,celery,redis,noop,1000,4,3,1.348,741.7,1.35,740.8,2.8,3.8,4.4,2.8,4
celery-redis,celery,redis,noop,5000,1,1,5.367,931.7,17.582,284.4,6378.9,11457.1,12082.5,6378.9,1
celery-redis,celery,redis,noop,5000,1,2,6.371,784.8,17.795,281.0,6794.3,10974.3,11398.5,6794.3,1
celery-redis,celery,redis,noop,5000,1,3,5.286,945.9,16.537,302.3,5773.5,10715.5,11145.8,5773.5,1
celery-redis,celery,redis,noop,5000,2,1,5.686,879.4,9.596,521.0,2012.0,3764.0,3876.6,2012.0,2
celery-redis,celery,redis,noop,5000,2,2,6.37,785.0,10.324,484.3,2180.0,3725.4,3898.0,2180.0,2
celery-redis,celery,redis,noop,5000,2,3,6.241,801.1,10.203,490.1,2231.3,3764.9,3923.1,2231.3,2
celery-redis,celery,redis,noop,5000,4,1,7.53,664.1,7.532,663.9,3.2,4.6,7.2,3.2,4
celery-redis,celery,redis,noop,5000,4,2,6.72,744.0,6.65,751.9,2.9,3.8,4.4,2.9,4
celery-redis,celery,redis,noop,5000,4,3,6.602,757.4,6.603,757.2,2.8,3.7,4.5,2.8,4
celery-redis,celery,redis,cpu_small,1000,1,1,1.208,827.8,58.321,17.1,29091.2,54243.8,56543.7,29039.8,1
